Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
MIR4731	0	0	0	0	0	0
AC005703.6	0	0	0	0	0	0
AC005703.3	0	0	0	0	0	0
AC005703.7	0	0	0	0	0	0
AC005703.1	0	0	0	0	0	0
AC005703.2	0	0	0	0	0	0
TEKT3	0	0	0	0	0	0
RNU6-799P	0	0	0	0	0	0
AC005703.5	0	0	0	0	0	0
AC005703.4	1	0	0	0	0	0
RN7SL792P	0	0	0	0	0	0
CDRT4	6	8	4	6	5	6
TVP23C-CDRT4	0	0	0	0	0	0
RPL9P2	0	1	1	1	1	0
TVP23C	36	41	24	17	21	44
PPIAP53	3	3	9	4	5	7
AC005838.3	2	1	4	3	2	3
CDRT1	7	5	5	2	13	9
AC005324.3	0	0	0	0	0	3
AC005838.2	0	0	0	0	0	0
AC005838.1	0	0	0	0	0	0
TRIM16	378	314	367	123	161	232
AC005324.5	0	0	0	1	0	0
ZNF29P	0	0	0	1	1	1
ZNF286A	58	93	60	69	68	114
AC005324.4	0	0	0	0	0	0
UBE2SP1	68	53	44	154	179	162
TBC1D26	0	0	0	0	0	0
AC005324.1	0	0	0	0	0	0
AC005324.6	0	0	0	0	0	0
AC005324.2	0	0	0	0	0	0
CDRT15P2	0	0	0	0	0	0
ZSWIM5P1	0	0	0	0	0	0
RNA5SP436	0	0	0	0	0	0
IL6STP1	0	1	2	1	0	0
MEIS3P1	0	0	0	0	0	0
AC015922.2	0	0	0	0	0	0
AC015922.3	0	0	0	0	0	0
AC015922.1	0	0	0	0	0	0
LINC02087	0	0	0	0	0	0
SPECC1P1	0	0	0	0	0	0
ADORA2B	54	44	35	33	48	86
ZSWIM7	77	63	59	93	120	198
TTC19	291	303	276	457	581	844
AC002553.2	1	2	2	4	4	5
NCOR1	2871	3038	2578	3330	4282	5820
AC002553.1	47	51	41	14	2	12
RPLP1P11	0	0	0	0	0	0
RPL22P21	0	1	0	0	0	1
RNU6-314P	0	0	0	0	0	0
RNU6-862P	0	0	0	0	0	0
RN7SL442P	0	0	0	0	0	0
PIGL	167	180	160	149	148	224
MIR1288	0	0	0	0	0	0
CENPV	102	101	105	384	464	652
UBB	3183	3314	2851	1044	1380	2177
AC093484.3	0	0	0	0	0	0
FTLP12	0	0	0	0	0	0
AC093484.2	0	0	0	0	0	0
TRPV2	0	0	1	1	1	3
AC093484.1	0	0	0	0	0	0
SNHG29	4261	4642	4194	3145	3777	6027
SNORD49B	0	0	0	0	0	0
SNORD49A	0	0	0	0	0	0
AC093484.4	6	7	2	4	11	21
SNORD65	0	0	0	0	0	0
LRRC75A	47	45	34	122	108	181
AC127540.2	0	1	0	0	1	0
ZNF287	0	1	0	1	2	1
AC127540.1	0	0	0	0	0	1
AC005822.1	4	5	5	4	6	10
ZNF624	53	55	53	71	63	122
AC098850.2	0	0	0	1	0	0
NEK4P2	0	0	0	0	0	0
RNASEH1P2	0	0	0	1	0	2
CCDC144A	0	0	0	0	2	0
AC098850.3	0	0	0	0	0	0
RNU6-405P	0	0	0	0	0	0
RN7SL620P	0	1	0	0	0	0
UPF3AP1	0	0	0	1	1	2
USP32P1	0	1	0	0	0	0
SRP68P1	0	0	0	0	0	0
AC098850.4	0	0	0	0	0	0
AC098850.1	0	0	0	0	0	0
FAM106C	0	0	0	0	0	0
AC022596.1	0	0	0	0	0	0
NOS2P4	0	0	0	0	0	0
KRT16P6	0	0	0	0	1	0
KRT16P2	0	0	0	0	0	0
KRT17P1	0	0	0	0	1	1
KRT17P4	3	1	1	8	18	18
COTL1P1	1	0	0	0	0	0
AC022596.2	1	0	0	2	2	3
AL353996.1	0	0	0	0	0	0
TBC1D27P	0	0	0	0	0	0
TNFRSF13B	0	0	0	0	0	0
AC104024.1	0	0	0	0	1	0
LINC02090	0	0	0	0	0	0
AC104024.2	0	0	0	13	22	26
AC104024.3	1	0	0	1	4	3
AC104024.4	0	1	0	4	3	10
MPRIP	1958	2056	1705	2456	2991	4421
MPRIP-AS1	1	3	3	2	1	0
AC055811.1	20	11	16	4	7	12
RNU6-767P	0	0	0	0	0	2
RN7SL775P	0	0	1	0	0	1
AC055811.4	163	168	136	140	159	283
PLD6	39	36	30	10	27	35
AC055811.2	0	0	0	1	0	1
FLCN	1072	1233	940	162	235	326
AC055811.3	2	6	7	0	0	0
ACTG1P24	0	0	1	2	4	3
COPS3	1359	1422	1167	945	1160	1887
NT5M	0	3	1	0	3	7
RPL13P12	1521	1476	1227	1186	1366	1749
AC073621.2	0	0	0	0	0	0
TSEN15P1	0	0	0	0	0	0
AC073621.1	0	0	0	0	0	1
MED9	150	182	140	148	170	271
RASD1	48	44	48	121	164	239
AC020558.6	5	2	1	2	3	1
PEMT	53	41	38	69	97	120
AC020558.2	2	5	2	2	8	7
RNU6-468P	0	0	0	0	0	0
AC020558.1	0	0	0	0	0	0
AC020558.5	1	0	0	0	0	0
SMCR2	0	0	1	0	1	1
AC020558.3	0	0	0	0	0	0
AC020558.4	0	0	0	0	0	0
RAI1	1348	1363	1107	1578	1798	2399
RAI1-AS1	0	1	1	1	1	2
SMCR5	0	2	0	5	3	4
AC122129.2	0	0	0	0	0	0
SREBF1	4157	4198	3494	2014	2477	3447
MIR6777	1	0	1	0	0	1
MIR33B	0	1	0	0	0	0
TOM1L2	672	662	553	335	365	524
AC122129.1	40	38	38	3	17	23
DRC3	17	20	12	26	28	55
ATPAF2	170	174	153	85	97	137
AC087163.1	0	0	0	0	0	0
AC087163.2	4	1	4	1	3	6
AC087163.3	20	13	6	1	1	0
GID4	113	122	84	112	147	171
DRG2	238	249	188	264	297	449
AC087164.2	0	0	0	0	0	0
MYO15A	3	2	0	4	5	6
AC087164.1	5	0	1	0	1	1
ALKBH5	2491	2619	2248	674	791	1074
LLGL1	364	352	314	408	533	745
FLII	3777	4113	3385	1780	2250	3248
MIEF2	177	134	130	126	143	257
AC127537.1	3	1	1	1	1	4
TOP3A	436	458	420	581	655	1031
RPL7AP65	1	1	1	0	0	0
RPL21P121	0	0	0	1	0	0
SMCR8	1873	1988	1626	485	499	765
SHMT1	415	394	358	630	780	1065
MIR6778	0	0	0	0	0	0
EVPLL	5	3	0	3	1	3
AL353997.2	1	1	3	1	0	0
AL353997.3	0	0	0	0	0	0
AL353997.5	0	0	0	0	0	0
TBC1D3P4	0	0	0	0	0	0
LINC02076	0	0	0	0	0	0
KRT17P5	2	0	0	0	0	0
YWHAEP2	0	0	0	0	0	0
KRT17P2	0	0	0	0	0	0
KRT16P1	0	0	0	0	0	0
KRT16P4	0	0	0	0	0	0
AL353997.1	0	0	0	0	0	0
AL353997.4	0	0	0	0	0	0
TNPO1P2	4	1	2	1	2	0
LGALS9C	44	52	40	1	1	2
NOS2P2	0	0	0	0	0	0
FAM106A	65	89	65	78	85	109
USP32P2	4	4	5	5	5	7
SRP68P2	0	0	0	0	0	0
CCDC144B	121	120	89	131	120	212
AC107983.1	0	1	1	0	0	2
AC026271.4	0	0	0	0	0	0
TBC1D28	0	0	0	0	0	0
AC026271.2	0	0	0	0	0	0
AC026271.5	0	0	0	0	0	0
AC026271.1	25	25	24	35	26	50
ZNF286B	4	4	4	3	2	4
FOXO3B	34	19	15	28	25	33
UBE2SP2	2	0	3	5	2	4
TRIM16L	414	381	371	105	108	181
AC026271.3	0	0	0	0	0	0
FBXW10	1	1	2	2	1	0
TVP23B	396	435	338	188	270	397
AC107982.3	1	1	0	0	4	3
AC107982.1	0	0	0	0	0	0
PRPSAP2	357	419	368	320	402	677
RN7SL627P	0	0	0	0	0	0
AC107982.2	0	0	0	0	0	0
AC090286.3	3	1	3	0	2	4
AC090286.2	0	0	0	0	0	0
SLC5A10	0	0	0	1	0	0
AC090286.1	0	0	0	0	0	0
FAM83G	1831	1879	1675	684	903	1307
AC090286.4	0	1	3	0	0	0
GRAP	0	0	0	1	1	2
AC003957.1	0	0	0	0	0	0
SNORD3B-1	0	0	0	0	0	0
SNORD3B-2	2	0	1	0	0	1
AC007952.3	0	0	0	0	0	0
KYNUP2	0	0	0	0	0	0
AC007952.7	0	0	0	0	0	0
AC007952.2	1	0	0	1	1	3
AC007952.4	0	0	0	0	1	0
SNORD3D	0	0	0	0	0	0
GRAPL	0	0	0	0	0	0
AC007952.6	0	0	0	0	0	0
AC007952.9	0	0	0	0	0	0
AC007952.1	0	0	0	0	0	0
AC007952.5	0	0	0	0	0	0
AC007952.8	0	0	0	0	0	0
KYNUP1	0	0	0	0	0	0
SNORD3A	2	0	0	1	0	2
SNORD3C	0	0	0	0	0	0
AC106017.1	0	0	0	0	0	0
KYNUP3	0	0	0	0	0	0
EPN2	217	233	193	284	355	455
AC106017.2	0	0	0	0	0	0
EPN2-AS1	1	1	2	1	6	3
B9D1	55	60	76	153	180	215
MIR1180	1	0	0	0	0	1
AC124066.1	1	0	1	0	2	5
MAPK7	294	269	256	137	176	212
MFAP4	4	5	4	0	6	9
AC004448.5	1	0	0	0	0	0
RNF112	1	2	3	0	0	1
AC004448.3	0	0	0	0	0	0
AC004448.2	0	1	0	0	0	0
LINC02094	0	0	0	0	0	0
AC004448.4	0	0	0	0	0	0
RPS2P46	22	33	22	13	15	50
AC004448.1	0	0	0	0	0	0
SLC47A1	2	1	2	6	5	11
RPL17P43	0	0	0	0	0	0
SNORA59B	0	0	0	0	0	0
AC025627.1	0	0	0	0	2	0
SLC47A1P1	0	2	1	2	1	2
AC025627.2	0	0	0	0	0	0
AC025627.3	0	0	0	0	0	0
AC025627.4	0	0	0	0	0	0
MTND1P14	0	0	0	0	0	1
NMTRQ-TTG12-1	0	0	0	0	1	0
MTND2P12	0	0	0	0	0	0
MTCO1P39	0	0	0	0	0	1
SLC47A1P2	2	5	0	3	3	4
ALDH3A2	1411	1450	1149	1190	1359	2006
AC115989.1	0	1	1	1	1	0
AC115989.2	0	0	0	0	0	0
AC005722.2	1	0	0	0	0	0
SLC47A2	4	5	2	4	5	12
AC005722.3	1	1	1	4	7	2
AC005722.4	0	0	1	0	0	0
ALDH3A1	45	61	56	60	78	92
AC005722.1	0	0	0	0	0	0
ULK2	2	2	4	22	25	41
NDUFB4P3	0	0	0	0	0	0
AC015726.3	0	0	0	0	0	0
AC015726.2	0	0	0	0	0	0
AC015726.1	0	0	0	5	4	4
AKAP10	781	828	650	496	599	892
AC005730.3	2	0	1	1	0	4
AC005730.2	0	0	0	0	0	0
SPECC1	366	415	345	154	184	301
AC005730.1	0	0	0	0	0	0
KCTD9P1	0	1	1	0	0	1
RNU6-258P	0	0	0	0	0	0
AC004702.1	0	0	0	0	0	0
RNU6-1057P	0	0	0	0	0	0
CCDC144CP	4	1	0	2	6	2
RNU6-467P	0	0	0	0	0	0
AC008088.1	0	0	0	0	0	0
AC008088.2	0	0	0	0	0	0
UPF3AP2	0	2	1	3	1	5
USP32P3	2	0	1	1	1	1
SRP68P3	0	0	0	0	0	0
AC015818.9	0	0	0	0	0	0
AC015818.10	0	0	0	0	0	0
NOS2P3	0	0	0	0	0	0
LGALS9B	11	13	5	0	0	0
TNPO1P3	1	2	2	2	0	1
YWHAEP3	0	0	0	0	0	0
KRT16P5	0	0	0	0	0	0
KRT16P3	0	0	0	0	0	0
AC015818.7	0	0	0	0	0	0
KRT17P6	0	0	0	0	0	0
KRT17P7	0	0	0	4	0	3
AC015818.6	0	0	0	0	0	0
AC015818.2	0	0	0	0	0	0
AC015818.5	0	0	0	0	0	0
TBC1D3P3	0	0	0	0	0	0
AC015818.8	0	0	0	0	0	0
AC015818.1	0	0	0	0	0	0
AC015818.3	0	0	0	0	0	0
COTL1P2	0	0	0	0	0	0
AC015818.4	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0
ZSWIM5P2	0	0	0	0	0	0
MEIS3P2	0	0	0	0	0	0
AC087499.3	0	0	0	0	0	0
AC087499.1	0	0	0	0	0	0
AC087499.4	0	1	0	1	0	2
LINC02088	0	0	0	0	0	0
AC087499.7	0	0	0	0	0	0
AC087499.5	0	0	0	0	0	0
AC087499.6	0	0	0	0	0	0
AC087499.2	0	0	0	0	0	0
RNFT1P3	0	0	0	0	0	0
HNRNPA1P19	0	0	0	0	0	0
OLA1P2	0	0	0	0	0	0
SCDP1	23	39	28	5	11	17
AC126365.1	1	2	1	0	1	2
AC126365.2	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0
CCDC144NL	2	2	1	4	1	0
AC090774.2	0	0	0	0	0	1
CCDC144NL-AS1	3	2	0	6	8	11
RNU6-1178P	0	0	0	0	0	0
RNASEH1P1	0	0	0	0	0	0
AC090774.1	0	0	0	0	0	0
SPECC1P2	0	0	0	0	0	0
AC107926.1	0	0	0	0	0	0
AC087393.3	0	0	0	0	0	0
AC087393.1	0	0	0	0	0	0
USP22	2247	2424	1932	2248	2664	3891
AC087393.2	0	0	0	0	0	0
LINC01563	0	0	0	0	2	0
DHRS7B	163	144	141	189	208	341
TMEM11	541	553	460	235	282	425
AC087294.1	0	0	2	8	6	15
RN7SL426P	0	0	0	0	0	0
NATD1	109	93	75	65	81	126
EIF1P5	6	10	7	2	3	9
MAP2K3	884	926	813	890	1169	1864
KCNJ12	0	0	0	0	0	0
LINC02693	23	15	23	40	30	56
AC068418.3	0	0	0	0	0	0
PDLIM1P2	0	0	0	0	0	0
AC068418.2	0	0	0	0	0	0
AC068418.1	0	0	0	0	0	0
RPL21P120	1	2	1	1	0	1
AC233702.5	0	0	0	0	0	0
AC233702.7	0	0	0	0	0	0
AC233702.8	0	0	0	0	0	0
AC233702.6	0	0	0	0	0	0
AC233702.3	0	0	0	0	0	0
AC233702.2	0	0	0	0	0	0
AC233702.1	0	0	0	0	0	0
AC233702.4	0	0	0	0	0	0
AC233702.9	0	0	0	0	0	0
KCNJ18	0	0	0	0	0	0
AC243725.1	0	0	0	0	0	0
ABBA01006766.1	0	0	0	0	0	0
NCOR1P2	0	0	0	0	0	0
UBBP4	10	11	10	6	1	10
FTLP13	0	0	0	0	0	0
LINC02002	0	0	0	0	0	0
AC138761.1	0	0	0	0	0	0
AC138761.2	0	0	0	0	0	0
FAM27E5	0	0	0	0	0	0
AC087575.1	0	0	0	0	0	0
AC209154.1	0	0	0	0	0	0
AC132825.3	0	0	0	0	0	0
AC132825.4	0	0	0	0	0	0
AC132825.5	0	0	0	0	0	0
MTCYBP13	0	0	0	0	0	0
MTRNR2L1	0	1	0	0	2	2
AC132825.2	0	0	0	0	0	0
MTND1P15	0	0	0	0	0	0
MTND2P13	0	0	0	0	0	0
AC132825.1	0	0	0	0	0	0
NMTRS-TGA3-1	0	0	0	0	0	0
MTATP6P3	0	0	0	0	0	0
MTCO3P13	0	1	0	1	0	0
AC132825.7	0	0	0	0	0	0
AC132825.8	0	0	0	0	0	1
AC132825.6	0	0	0	0	0	0
AC131055.2	0	0	0	0	0	0
AC131055.1	0	0	0	0	0	0
AC131274.3	0	0	0	0	0	0
AC131274.1	0	0	0	0	0	0
AC131274.2	0	0	0	0	0	0
AC069061.1	0	0	0	0	0	0
AC069061.2	0	0	0	0	0	0
PDLIM1P3	0	0	0	0	0	0
GTF2IP6	0	0	0	0	0	0
VN1R71P	0	0	0	0	0	0
TUFMP1	4	1	3	2	2	5
AC129926.2	0	0	0	0	0	1
AC129926.1	0	0	0	1	1	3
RPL34P31	0	0	2	1	1	0
RPS16P8	0	0	0	0	0	0
AC026254.1	0	0	0	0	0	0
MIR4522	0	0	0	0	0	0
WSB1	3940	4249	3401	1485	1789	2610
AC026254.2	3	3	2	14	17	22
SYPL1P2	2	5	4	20	16	38
AC090615.1	0	0	0	0	0	0
TBC1D3P5	0	0	0	0	1	0
KSR1	90	103	62	214	260	369
AC069366.2	0	0	0	0	0	0
AC069366.1	0	0	0	1	1	1
ITM2BP1	0	0	0	0	0	1
AC015688.4	0	0	0	0	0	0
AC015688.6	0	0	0	0	0	0
LGALS9	577	764	557	279	408	504
NOS2P1	0	0	0	0	0	0
AC015688.3	0	0	0	0	0	0
AC015688.5	0	0	0	0	0	0
CPDP1	0	0	0	0	0	0
AC015688.2	0	0	0	0	0	0
AC015688.1	0	0	0	0	0	0
AC130289.1	0	0	0	0	0	0
AC130289.2	0	0	0	0	0	0
LGALS9DP	0	0	0	0	0	0
NOS2	0	0	0	0	0	0
AC005697.1	0	0	0	0	0	0
AC005697.2	0	0	0	0	0	0
LYRM9	0	3	0	1	3	1
LINC01992	0	0	0	0	0	0
AC005697.3	0	0	0	0	0	0
AC090287.2	0	0	0	0	0	0
AC090287.3	0	0	0	0	0	1
AC090287.1	0	0	0	0	0	0
NLK	408	445	327	678	711	838
AC100852.1	0	0	0	0	0	0
RPS29P22	0	1	0	0	0	0
AC061975.8	0	1	0	1	0	1
AC061975.7	0	0	0	0	0	0
PYY2	2	0	0	1	0	3
ERVE-1	35	32	33	13	11	36
AC061975.6	0	0	0	1	0	0
PPY2P	0	0	0	0	0	0
AC061975.2	0	0	0	0	0	0
AC061975.4	0	0	0	0	0	0
AC061975.1	0	0	0	0	0	0
AC061975.5	0	0	0	0	0	0
AC061975.3	0	0	0	0	0	0
KRT18P55	0	1	1	3	1	3
TMEM97	905	937	853	926	1040	1447
IFT20	368	362	363	261	322	521
TNFAIP1	817	802	704	740	985	1448
POLDIP2	799	867	734	1357	1690	2367
TMEM199	104	113	87	95	131	182
AC002094.1	0	0	0	0	0	0
MIR4723	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0
SEBOX	0	1	0	0	0	0
AC002094.3	0	0	0	0	0	0
SARM1	15	13	15	83	70	130
VTN	9	1	7	6	2	3
AC002094.4	0	0	1	0	0	0
AC002094.5	0	0	0	1	2	0
SLC46A1	5	6	7	55	51	70
AC015917.2	0	0	0	0	0	0
H3P41	0	0	0	0	0	0
AC015917.1	0	0	0	0	0	0
AC005726.1	0	0	0	0	0	1
RPS7P1	196	198	144	138	133	223
SLC13A2	0	0	0	1	0	0
FOXN1	0	0	0	0	0	0
UNC119	491	429	388	199	261	341
PIGS	978	962	833	737	839	1228
ALDOC	3247	3352	2942	371	505	689
AC005726.3	0	0	0	0	0	0
SPAG5	855	873	802	1094	1201	1691
SPAG5-AS1	17	27	24	20	22	18
RSKR	115	112	95	160	155	215
AC005726.4	0	0	0	0	0	0
KIAA0100	3227	3308	2782	3438	4126	5956
AC005726.2	3	0	1	2	2	2
SDF2	1088	1123	918	442	506	872
RPS12P28	0	0	0	0	0	0
SUPT6H	8273	9058	7490	2852	3469	4712
AC010761.3	29	28	16	13	23	29
PROCA1	9	3	3	37	65	60
RAB34	0	4	1	0	0	3
RPL23A	1769	1882	1553	899	1041	2200
SNORD42B	0	0	0	2	0	1
AC010761.1	21	19	14	21	30	62
SNORD4A	0	0	0	0	0	0
SNORD42A	0	0	0	0	0	0
SNORD4B	0	0	0	0	0	0
TLCD1	82	98	81	139	178	250
NEK8	97	85	71	204	260	368
AC010761.6	1	0	0	1	3	7
AC010761.2	0	0	0	0	0	0
TRAF4	1405	1559	1217	1624	2089	3433
AC010761.4	11	10	14	5	10	17
AC010761.5	0	0	0	0	0	0
FAM222B	409	383	356	435	509	647
RPL31P58	0	1	0	0	0	0
AC024267.1	0	0	0	0	0	0
AC024267.3	0	0	0	0	0	0
ERAL1	572	613	479	703	852	1313
AC024267.2	0	0	0	0	0	0
MIR451A	0	0	0	0	0	0
MIR451B	0	0	0	0	0	0
MIR144	0	0	0	0	0	0
MIR4732	0	0	0	0	0	0
FLOT2	703	759	688	1816	2236	3021
AC024267.4	6	2	3	7	11	11
AC024267.7	0	0	0	0	0	0
DHRS13	25	18	26	21	46	49
PHF12	949	1041	800	746	884	1186
AC024267.5	5	6	3	1	2	5
AC024267.6	6	1	2	4	4	5
PIPOX	4	14	2	35	35	58
SEZ6	1	0	1	3	8	6
AC024619.2	0	0	0	0	0	0
AC024619.1	0	0	0	0	0	0
AC024619.4	1	0	0	1	1	6
MYO18A	7446	8022	6582	2987	3644	4856
TIAF1	425	461	362	88	115	150
AC024619.3	2	1	0	0	0	0
AC005412.1	0	0	0	0	0	0
TWF1P1	17	27	15	16	19	23
CRYBA1	6	2	1	0	0	0
NUFIP2	7050	8426	6285	3938	4670	6309
RPL35AP35	0	1	0	1	0	0
AC068025.2	0	1	0	2	2	0
AC068025.1	0	1	0	0	0	0
RNU4-34P	0	0	0	0	0	0
TAOK1	3895	4675	3661	3195	3717	5254
MIR4523	0	0	0	0	0	0
RNU6-711P	0	0	0	0	0	0
RNU6-1034P	0	0	0	0	0	0
ABHD15	35	32	32	290	321	428
ABHD15-AS1	0	0	0	0	0	0
TP53I13	272	280	237	530	645	815
AC104564.3	4	3	6	8	6	11
GIT1	726	698	685	672	898	1237
ANKRD13B	45	58	60	95	95	110
AC104564.4	0	0	0	0	0	1
CORO6	2	4	0	2	0	2
AC104564.2	0	0	0	0	0	0
SSH2	1153	1332	1046	424	507	728
AC104564.1	7	3	1	0	0	0
RNU6-920P	0	2	1	0	0	0
AC104564.5	9	6	9	1	1	1
RPL21P123	1	3	1	2	1	4
AC023389.2	0	1	0	0	0	1
AC023389.3	3	0	0	0	1	0
AC023389.1	1	0	0	0	0	0
RPL9P30	1	0	1	0	0	0
AC104982.2	0	0	0	0	0	0
AC104982.1	0	0	0	0	0	0
EFCAB5	3	3	9	5	1	16
AC104982.3	0	0	0	0	0	0
RNY4P13	0	0	0	0	0	0
AC104996.3	0	0	0	0	0	0
AC104996.1	0	0	0	0	0	0
AC104996.2	2	2	0	2	0	1
AC104984.3	2	1	1	1	3	2
NSRP1	1135	1365	1110	814	1073	1483
hsa-mir-423	0	0	0	0	0	0
MIR423	0	0	0	0	0	0
MIR3184	0	0	0	0	0	0
AC104984.4	0	0	0	0	0	0
AC104984.6	0	0	0	0	1	0
SLC6A4	2	0	0	1	0	0
AC104984.2	0	0	0	0	0	0
AC104984.5	0	0	0	0	0	0
AC104984.1	0	0	0	0	0	0
BLMH	441	448	360	93	93	168
RNU6-1267P	0	0	0	0	0	0
TMIGD1	0	0	0	0	0	0
AC090685.1	0	0	0	0	0	0
RNU6-990P	0	0	0	0	0	0
CPD	2423	2789	2265	2934	3629	5475
GOSR1	1492	1750	1390	1307	1478	2257
ALOX12P1	0	1	0	0	1	0
AC011840.3	0	0	0	0	0	0
AC011840.5	0	0	0	0	0	0
TBC1D29P	0	0	0	1	1	1
AC011840.4	0	0	0	0	0	0
AC011840.2	0	0	0	0	0	0
KRT17P3	0	0	0	0	0	0
AC011840.1	0	0	0	0	0	0
AC005562.1	8	16	5	12	13	23
SMURF2P1	1	1	0	1	2	1
AC005562.2	0	0	0	0	0	1
SH3GL1P2	4	4	0	7	9	3
LRRC37BP1	52	63	44	56	75	142
RN7SL316P	0	0	0	1	0	0
SUZ12P1	82	63	80	202	234	284
AC127024.7	0	1	0	0	0	0
AC127024.3	0	0	0	0	4	1
AC127024.2	2	0	2	1	1	3
AC127024.8	8	17	4	3	5	1
CRLF3	157	178	163	204	266	411
AC127024.4	3	4	3	2	3	5
AC127024.5	2	1	3	5	14	14
AC127024.6	0	2	0	2	1	1
AC127024.1	0	3	0	0	1	0
ATAD5	395	489	368	433	540	730
AC130324.2	0	0	0	0	1	1
RNU6-298P	0	0	0	0	1	1
AC130324.1	2	4	0	0	1	3
TEFM	96	87	67	119	133	202
AC130324.3	0	0	0	0	0	0
ADAP2	0	2	0	8	6	8
AC138207.1	0	0	0	1	0	0
RN7SL138P	0	0	0	0	0	0
AC138207.5	0	0	0	0	0	0
AC138207.9	0	0	0	0	0	0
RNF135	33	46	38	109	126	198
AC138207.4	3	1	2	13	19	12
DPRXP4	1	0	0	1	2	2
AC138207.7	0	1	0	0	0	0
AC138207.3	0	0	1	0	0	1
AC138207.8	4	3	0	5	3	5
AC138207.6	0	0	0	0	1	1
AC138207.2	5	7	7	8	10	19
MIR4733	0	0	0	0	0	1
NF1	6539	7429	6074	6186	7367	11060
AC079915.1	0	0	1	0	0	0
OMG	10	7	6	10	9	12
EVI2B	1	3	2	0	1	1
AC134669.1	0	1	0	1	0	0
EVI2A	2	4	0	5	2	4
AK4P1	2	4	4	1	4	4
RAB11FIP4	1635	1837	1507	1493	1772	2485
RN7SL79P	0	0	0	0	0	0
RN7SL45P	1	0	0	1	0	0
AC003101.3	0	0	0	0	0	0
MIR4724	0	0	0	0	0	0
MIR193A	0	0	0	0	0	0
AC003101.2	0	0	0	0	0	0
RNU6ATAC7P	0	0	0	0	0	0
AC003101.1	0	0	0	1	1	0
MIR4725	0	0	0	0	0	0
MIR365B	0	0	0	0	0	0
AC007923.3	0	0	0	0	0	0
AC007923.2	0	0	0	0	0	0
RNU6-1134P	0	0	0	0	0	0
GPR160P2	0	0	0	0	0	0
AC007923.1	0	1	2	1	2	4
AC004253.2	0	0	0	0	0	1
COPRS	649	733	613	545	640	939
UTP6	735	786	681	1741	2098	3329
AC004253.1	3	3	2	1	6	6
SUZ12	2023	2475	1805	2579	3012	4413
RNA5SP437	0	0	0	0	0	0
AC090616.3	0	0	0	0	0	0
LRRC37B	389	456	351	165	200	284
AC090616.4	1	0	0	0	0	0
SH3GL1P1	47	48	44	13	18	15
AC090616.6	39	27	23	6	3	9
AC090616.2	0	0	0	0	0	0
AC090616.5	0	0	0	0	0	0
AC090616.1	0	0	0	0	0	0
WDR45BP1	21	27	16	9	9	15
AC116407.2	13	30	18	11	6	15
AC116407.1	3	2	3	6	6	5
RHOT1	1513	1723	1458	1416	1738	2489
ARGFXP2	5	6	7	8	7	8
AC116407.4	22	18	20	18	11	18
AC116407.3	10	13	19	4	1	8
UBL5P2	2	1	1	3	1	3
AC026620.2	0	0	0	0	0	0
RHBDL3	0	0	0	0	5	1
AC026620.1	0	0	0	0	0	0
AC005899.5	0	0	0	0	0	0
C17orf75	155	189	141	547	670	950
AC005899.4	0	0	0	0	0	0
OOSP1P2	0	1	0	0	0	0
MIR632	0	0	0	0	0	0
ZNF207	4993	5922	4331	4913	5649	8238
AC005899.7	3	2	2	1	0	0
AC005899.8	0	1	0	1	1	0
AC005899.6	0	2	2	0	0	0
AC005899.9	8	8	8	0	1	0
AC005899.2	0	0	0	0	0	0
AC005899.3	0	0	0	0	0	0
PSMD11	14834	16358	13125	2466	2803	4352
AC005899.1	3	0	0	0	0	0
CDK5R1	67	71	55	110	115	188
MYO1D	917	997	893	2070	2483	3624
AC079336.5	3	12	3	2	7	7
AC079336.7	2	4	1	0	1	4
AC079336.2	2	3	1	3	8	12
AC079336.1	0	0	0	0	2	1
AC079336.6	1	2	0	3	6	2
AC079336.4	0	1	0	0	2	0
AC079336.3	0	0	2	0	1	1
AC025211.1	0	0	0	0	0	0
AC007982.1	0	0	0	0	0	0
AC084809.1	2	2	3	9	11	22
AC084809.2	1	0	0	0	0	0
TMEM98	6	2	1	9	11	10
SPACA3	0	0	0	0	0	0
ASIC2	0	0	0	0	0	0
AC003687.1	0	0	0	0	0	0
AC008133.2	0	0	0	0	0	0
AC008133.1	0	0	0	0	0	0
AC011824.3	0	0	0	0	0	0
AC011824.4	0	0	0	0	0	0
AC011824.2	0	0	0	0	0	0
AC011824.1	0	0	0	0	0	0
AC024614.1	0	0	0	0	0	0
AC024614.2	0	0	0	0	0	0
AC024614.3	0	0	0	0	0	0
AC024614.4	0	0	0	0	0	0
AC024610.2	0	0	0	0	0	0
AC004147.4	0	0	0	0	0	0
AC024610.1	0	0	0	0	0	0
AC123769.1	0	0	0	0	0	0
TLK2P1	8	8	12	4	6	11
AC004147.1	0	0	0	0	0	0
AC004147.5	0	0	0	0	0	0
RNA5SP438	0	0	0	0	0	0
AC004147.3	0	0	0	0	0	0
AC004147.2	0	0	0	0	0	0
LINC01989	0	0	0	0	0	0
AC005549.1	0	0	0	0	0	0
